"llid","ag","corn","developed","forage","forest","mixed crop","nonag","other","other ag","other non ag","pasture","soybeans","water","wetlands","wheat"
4985,89,38,5,0,4,NA,11,1,NA,NA,13,37,2,NA,NA
4989,37,13,32,5,11,NA,63,1,NA,NA,14,4,17,2,1
4994,54,17,7,8,22,NA,46,0,4,NA,19,3,17,1,2
5002,62,22,5,8,29,NA,38,2,1,NA,15,15,2,1,NA
5009,36,11,11,6,11,NA,64,NA,5,NA,14,NA,36,6,1
5014,47,20,10,5,26,NA,53,0,6,NA,12,3,13,4,1
5032,91,54,6,0,1,NA,9,1,NA,NA,6,31,1,NA,NA
5035,36,10,14,3,19,NA,64,0,1,NA,14,7,23,7,2
5036,61,32,5,1,10,NA,39,1,6,NA,4,11,20,3,7
5040,53,22,4,0,2,NA,47,0,NA,NA,11,20,38,3,NA
5053,47,12,7,6,46,NA,53,0,NA,NA,23,5,NA,1,NA
5072,67,29,14,4,9,NA,33,1,1,NA,16,15,7,2,2
5094,46,9,10,17,2,NA,54,NA,1,1,13,5,36,5,2
5095,33,9,5,13,52,NA,67,0,3,NA,6,1,1,9,1
5102,85,23,4,1,6,NA,15,0,NA,NA,42,19,5,NA,NA
5106,37,12,35,2,12,NA,63,0,1,NA,16,5,9,7,1
5116,43,17,4,5,49,NA,57,1,2,1,10,9,NA,2,NA
5118,59,7,8,1,27,NA,41,NA,NA,NA,36,16,6,1,NA
5119,25,5,12,4,8,NA,75,0,1,NA,11,3,34,21,1
5143,86,47,5,0,NA,NA,14,1,NA,NA,10,29,7,1,NA
5146,51,1,17,12,17,NA,49,0,1,1,30,2,12,2,5
5148,74,23,5,9,18,NA,26,NA,5,NA,24,10,2,2,3
5155,92,34,5,0,1,NA,8,1,NA,NA,21,36,2,NA,NA
5158,56,16,14,14,17,NA,44,NA,5,NA,19,1,12,1,2
5164,62,33,7,4,4,NA,38,0,1,NA,11,11,12,14,3
5167,88,34,6,1,1,NA,12,1,NA,NA,19,34,4,NA,NA
5171,75,11,5,1,14,NA,25,0,1,NA,47,15,5,1,NA
5174,56,20,8,8,30,NA,44,0,7,NA,14,5,3,3,2
5175,75,19,8,1,11,NA,25,0,NA,NA,35,20,4,2,NA
5176,50,12,5,10,38,NA,50,NA,5,NA,22,2,6,2,NA
5183,72,37,11,0,1,NA,28,0,NA,NA,16,19,13,3,NA
5188,28,11,13,9,12,NA,72,NA,1,NA,6,2,41,5,1
5189,66,20,8,17,8,NA,34,0,1,1,18,1,6,11,9
5191,52,12,9,11,22,NA,48,NA,2,NA,23,3,12,6,1
5195,57,16,11,17,23,NA,43,1,9,NA,6,4,7,2,4
5197,59,12,5,23,9,NA,41,1,NA,NA,24,NA,5,21,NA
5198,70,23,6,8,21,NA,30,2,19,NA,15,4,NA,2,NA
5199,53,11,7,6,27,NA,47,2,3,NA,27,3,12,1,1
5202,48,29,5,4,19,NA,52,NA,3,NA,12,1,17,11,NA
5204,39,15,6,6,28,NA,61,2,3,NA,8,5,3,23,1
5211,37,8,8,4,32,NA,63,0,3,NA,19,3,21,2,NA
5215,49,5,9,4,7,NA,51,NA,1,NA,24,16,23,12,NA
5232,41,5,25,5,6,NA,59,1,NA,NA,30,NA,23,5,NA
5233,67,6,6,0,18,NA,33,1,NA,NA,60,1,6,2,NA
5237,36,27,12,3,16,NA,64,2,NA,NA,4,NA,24,11,1
5240,49,15,6,10,26,NA,51,0,2,NA,11,8,10,9,3
5241,64,25,14,0,7,NA,36,0,NA,NA,22,17,14,1,NA
5242,78,14,3,NA,14,NA,22,1,NA,NA,30,34,2,2,NA
5246,78,14,9,NA,NA,NA,22,0,1,NA,41,23,12,NA,NA
5247,51,9,19,15,9,NA,49,0,3,1,16,3,13,7,5
5256,91,36,7,0,1,NA,9,0,NA,NA,8,47,1,NA,NA
5257,30,6,30,0,6,NA,70,1,1,NA,11,9,23,11,2
5264,40,6,6,5,47,NA,60,NA,1,NA,27,1,7,1,NA
5274,72,32,7,0,19,NA,28,0,NA,NA,17,23,2,NA,NA
5285,46,11,5,6,47,NA,54,1,NA,NA,19,8,NA,1,2
5286,54,21,12,4,12,NA,46,0,2,1,12,13,10,11,2
5287,35,17,29,1,8,NA,65,2,NA,NA,10,4,16,12,1
5290,97,42,NA,1,NA,NA,3,1,NA,NA,13,41,2,NA,NA
5300,58,18,5,11,34,NA,42,0,3,NA,18,9,1,1,NA
5328,48,12,6,7,41,NA,52,2,2,NA,19,6,2,3,NA
5329,77,41,10,0,NA,NA,23,0,NA,NA,6,30,11,2,NA
5331,69,1,3,14,3,NA,31,1,3,NA,36,7,13,11,8
5333,45,16,8,13,38,NA,55,NA,3,NA,7,5,1,8,2
5336,90,25,6,NA,NA,NA,10,1,NA,NA,17,47,4,NA,NA
5358,57,28,21,2,10,NA,43,1,NA,NA,15,11,10,2,NA
5371,55,25,23,10,5,NA,45,0,1,NA,13,5,15,2,1
5372,50,18,19,1,21,NA,50,2,NA,NA,13,14,5,5,2
5374,79,26,5,2,12,NA,21,0,NA,NA,20,31,3,1,NA
5376,68,16,6,15,18,NA,32,0,2,NA,22,6,2,6,7
5380,59,5,7,10,24,NA,41,0,4,NA,34,6,8,2,NA
5383,76,25,13,1,7,NA,24,NA,NA,NA,29,21,4,1,NA
5390,75,14,7,19,5,NA,25,NA,2,1,16,13,2,9,13
5396,65,6,13,3,19,NA,35,NA,NA,NA,57,NA,3,NA,NA
5405,77,13,4,8,17,NA,23,0,1,NA,48,7,2,NA,NA
5414,77,39,18,3,3,NA,23,1,NA,NA,27,7,2,NA,NA
5416,63,22,6,18,27,NA,37,1,11,NA,2,8,3,1,1
5421,66,31,15,0,1,NA,34,NA,NA,NA,8,27,18,1,NA
5424,53,22,4,7,26,NA,47,0,3,2,2,16,5,10,3
5426,57,29,9,4,6,NA,43,0,3,NA,8,9,16,12,4
5429,70,41,6,5,2,NA,30,NA,2,NA,8,12,8,14,3
5432,54,17,4,9,39,NA,46,0,5,NA,17,6,2,1,NA
5434,73,36,5,3,12,NA,27,NA,1,NA,18,14,1,10,2
5450,46,13,10,16,11,NA,54,0,1,NA,14,NA,21,12,2
5488,24,5,10,12,20,NA,76,0,1,NA,4,2,40,6,NA
5496,51,12,7,6,22,NA,49,NA,NA,NA,18,13,7,14,2
5500,86,10,7,0,1,NA,14,1,NA,NA,69,6,6,NA,NA
5501,68,27,7,33,3,NA,32,0,2,NA,4,1,8,14,1
5522,35,8,8,22,36,NA,65,NA,1,NA,4,1,13,8,NA
5541,56,12,8,0,31,NA,44,1,NA,NA,27,16,4,1,NA
5575,56,16,21,1,17,NA,44,NA,NA,NA,18,22,6,NA,NA
5581,77,41,5,0,NA,NA,23,1,NA,NA,4,31,15,3,NA
5583,66,25,5,0,5,NA,34,0,NA,NA,7,34,21,3,NA
5584,50,10,10,8,8,NA,50,1,5,NA,16,10,16,15,1
5588,57,14,11,6,25,NA,43,NA,2,NA,28,8,5,2,NA
5724,65,NA,15,NA,16,NA,35,0,1,NA,62,2,4,NA,NA
5727,63,1,7,NA,20,8,37,NA,1,NA,48,NA,9,1,6
5733,62,1,14,0,22,NA,38,1,2,NA,53,6,1,NA,NA
6058,69,12,5,1,19,3,31,0,3,NA,20,29,6,NA,2
6059,41,NA,41,0,14,4,59,0,1,NA,31,5,4,NA,NA
6061,64,7,6,0,19,NA,36,1,7,NA,33,17,9,1,NA
6062,78,12,10,1,6,NA,22,1,7,NA,47,11,5,NA,NA
6063,81,1,10,NA,2,NA,19,NA,13,NA,65,1,7,NA,2
6064,74,4,4,NA,16,NA,26,0,17,NA,52,2,5,NA,NA
6066,58,NA,4,NA,27,NA,42,0,3,NA,56,NA,10,NA,NA
6068,74,3,6,0,19,1,26,NA,4,NA,55,9,1,1,2
6069,87,1,7,NA,3,8,13,NA,7,NA,64,6,4,NA,2
6071,55,7,12,0,26,NA,45,2,5,NA,34,7,6,NA,1
6075,47,NA,8,NA,40,NA,53,0,NA,NA,47,NA,5,NA,NA
6076,53,NA,7,0,38,NA,47,1,NA,NA,52,NA,2,NA,NA
6181,39,5,4,NA,52,NA,61,1,3,NA,23,8,4,NA,NA
6182,65,21,7,0,26,NA,35,1,NA,1,20,23,1,NA,NA
6185,40,4,22,0,35,NA,60,0,1,1,27,8,2,NA,NA
6190,61,2,6,0,28,NA,39,0,10,NA,38,9,5,1,1
6191,56,NA,4,0,31,NA,44,0,2,NA,38,16,8,1,NA
6192,81,5,4,0,13,3,19,1,2,NA,66,4,1,NA,1
6197,64,3,4,NA,28,NA,36,1,NA,NA,60,NA,3,1,NA
6198,81,2,10,0,8,1,19,0,3,NA,67,6,1,NA,2
6199,75,9,7,0,12,NA,25,1,6,NA,45,14,6,NA,NA
6201,75,NA,9,1,12,NA,25,0,1,NA,71,2,4,NA,NA
6202,61,3,5,NA,26,3,39,NA,4,NA,17,34,8,1,1
6204,65,3,4,1,30,1,35,NA,2,NA,44,13,1,1,1
6207,78,6,9,0,8,2,22,1,1,NA,54,14,5,NA,NA
6208,57,NA,7,0,32,NA,43,2,NA,NA,56,NA,3,NA,NA
6214,48,NA,10,0,41,NA,52,0,NA,NA,48,NA,1,NA,NA
6216,47,1,11,NA,30,5,53,0,1,NA,35,1,11,1,4
6217,47,5,3,2,42,6,53,1,NA,NA,19,12,8,1,1
6218,80,9,8,0,10,1,20,0,3,NA,52,14,2,NA,1
6221,50,3,25,0,17,3,50,1,1,3,34,8,5,NA,NA
6223,57,NA,27,NA,11,NA,43,0,4,NA,42,11,4,1,NA
6300,85,15,9,1,4,NA,15,1,9,NA,33,26,1,NA,1
6383,35,NA,12,6,22,NA,65,NA,18,NA,11,NA,17,15,NA
6394,66,13,6,NA,20,3,34,1,NA,NA,23,27,7,NA,NA
6395,54,32,3,NA,37,NA,46,NA,NA,NA,8,14,5,2,NA
6410,44,7,6,2,42,NA,56,2,18,1,16,NA,6,NA,NA
6422,64,39,29,0,3,NA,36,2,NA,NA,3,21,3,NA,NA
6427,56,7,6,7,32,NA,44,0,26,1,15,NA,6,NA,NA
6431,86,51,8,0,5,NA,14,0,NA,NA,4,29,1,1,1
6454,52,10,25,NA,16,NA,48,2,1,NA,40,NA,6,NA,NA
6457,62,21,23,0,9,3,38,0,NA,NA,15,22,6,NA,1
6461,84,51,8,0,5,NA,16,NA,NA,NA,5,27,3,NA,2
6462,84,33,7,0,8,10,16,0,NA,NA,8,31,2,NA,1
6464,59,25,6,0,28,NA,41,0,NA,NA,22,11,5,3,NA
6465,86,43,10,0,3,NA,14,0,NA,NA,6,36,1,NA,1
6471,53,9,11,1,27,6,47,NA,1,NA,21,16,8,1,NA
6487,60,15,12,NA,19,NA,40,2,NA,NA,31,13,8,NA,NA
6490,46,10,6,5,32,NA,54,1,7,2,16,4,13,1,3
6492,49,28,1,2,7,NA,51,1,2,1,8,9,24,17,NA
6524,71,6,8,NA,19,NA,29,0,NA,NA,26,39,2,NA,NA
6538,50,13,31,3,15,NA,50,0,1,NA,27,5,3,1,1
6540,29,8,8,0,2,6,71,NA,NA,1,7,8,61,NA,NA
6547,52,11,3,8,33,NA,48,NA,9,6,24,NA,6,1,NA
6557,49,5,10,0,36,4,51,0,1,NA,36,2,5,1,NA
6565,73,3,11,NA,10,18,27,0,NA,NA,23,29,6,NA,NA
6667,68,27,6,6,12,NA,32,0,10,NA,9,11,1,13,5
6708,34,NA,5,NA,53,NA,66,0,25,1,9,NA,6,1,NA
6810,43,11,7,2,34,NA,57,0,13,NA,12,5,NA,15,1
6844,53,14,6,7,28,NA,47,1,8,2,16,5,9,2,2
6846,36,9,5,6,36,NA,64,1,6,1,10,4,19,2,1
6874,43,12,16,NA,9,1,57,NA,NA,NA,6,25,32,NA,NA
6878,48,19,12,1,26,NA,52,NA,23,8,0,5,4,2,1
6899,50,14,9,NA,34,NA,50,0,1,NA,34,1,7,NA,NA
6946,92,45,7,NA,1,NA,8,0,NA,NA,3,44,NA,NA,NA
6956,60,21,12,5,18,NA,40,0,1,1,15,14,3,7,3
6963,62,28,16,3,15,NA,38,1,NA,1,21,8,3,3,1
6965,86,46,9,0,4,NA,14,0,NA,NA,5,34,1,NA,1
6966,79,49,13,0,5,NA,21,2,NA,NA,6,23,2,NA,NA
6967,79,56,6,0,8,NA,21,0,NA,NA,3,20,7,NA,NA
6968,87,51,7,0,4,NA,13,1,NA,NA,5,30,1,NA,1
6969,51,15,6,1,40,NA,49,0,NA,NA,22,13,3,NA,NA
6970,64,12,5,1,27,8,36,0,NA,NA,18,24,4,NA,1
6971,78,35,7,0,12,2,22,NA,NA,NA,9,31,3,NA,2
6974,63,29,6,18,21,NA,37,0,5,NA,9,NA,8,2,2
6979,80,45,7,0,10,3,20,0,NA,NA,7,24,3,NA,1
6980,62,22,20,0,15,2,38,NA,NA,NA,11,26,3,NA,2
6981,74,20,7,0,15,8,26,1,NA,NA,19,25,4,NA,1
6982,78,36,15,0,5,NA,22,1,NA,NA,7,35,1,NA,NA
6983,76,32,7,0,7,NA,24,0,NA,NA,10,32,11,NA,1
6984,58,11,12,0,24,4,42,2,NA,NA,20,21,5,NA,1
6986,72,40,8,0,14,NA,28,1,NA,NA,13,19,5,NA,NA
6987,85,46,7,0,6,NA,15,NA,NA,NA,5,34,3,NA,NA
6988,78,20,9,0,11,NA,22,0,NA,NA,12,45,3,NA,NA
6989,81,44,12,0,4,NA,19,1,NA,NA,4,32,3,NA,NA
6990,43,1,2,NA,NA,NA,57,0,NA,NA,8,34,55,NA,NA
6991,79,41,5,0,14,NA,21,1,NA,NA,9,28,2,NA,NA
6992,58,24,6,0,34,NA,42,0,NA,NA,9,25,2,NA,NA
6993,76,32,12,0,10,NA,24,1,NA,NA,14,29,2,NA,NA
6994,62,34,6,0,30,1,38,1,NA,NA,7,19,2,NA,NA
6995,60,28,7,0,27,1,40,2,NA,NA,10,19,5,NA,1
6996,56,39,14,0,28,NA,44,0,NA,NA,7,10,2,NA,NA
6997,57,30,7,0,13,NA,43,1,5,NA,7,11,18,5,3
6998,68,18,6,0,24,NA,32,0,NA,NA,11,38,2,NA,1
6999,48,9,10,NA,37,9,52,1,1,NA,20,9,4,NA,NA
7000,51,9,12,1,31,4,49,1,NA,NA,26,10,6,NA,NA
7001,60,13,11,1,27,6,40,0,NA,NA,21,19,2,NA,NA
7002,84,19,5,0,7,27,16,NA,NA,NA,7,32,4,NA,NA
7003,88,47,7,0,4,NA,12,0,NA,NA,4,36,1,NA,1
7004,86,54,11,0,2,NA,14,0,NA,NA,5,27,1,NA,NA
7005,65,27,4,0,26,NA,35,NA,1,NA,9,27,5,NA,2
7007,68,38,6,0,24,NA,32,0,NA,NA,20,10,2,NA,NA
7009,84,47,12,0,4,NA,16,0,NA,NA,4,32,1,NA,NA
7010,80,58,6,0,7,NA,20,1,NA,NA,4,18,6,NA,NA
7011,65,27,8,0,24,1,35,0,NA,NA,19,15,3,NA,3
7012,78,42,6,0,14,NA,22,1,NA,NA,5,30,2,NA,NA
7016,52,8,17,0,27,1,48,1,NA,NA,22,19,5,NA,NA
7018,74,21,9,0,15,14,26,0,1,NA,14,22,3,NA,1
7025,65,33,15,0,17,NA,35,0,NA,NA,6,26,2,NA,1
7026,58,34,7,0,31,NA,42,1,NA,NA,8,15,4,NA,NA
7027,64,12,7,0,24,5,36,0,1,NA,21,24,5,NA,1
7029,72,12,11,2,13,5,28,1,NA,NA,34,18,3,NA,1
7030,85,36,8,0,6,NA,15,0,NA,NA,9,39,2,NA,NA
7031,55,16,12,0,26,4,45,NA,NA,NA,13,21,8,NA,1
7032,70,26,5,0,17,4,30,0,NA,NA,11,29,8,NA,NA
7033,83,28,5,NA,6,8,17,0,NA,NA,9,38,6,NA,NA
7034,39,8,18,NA,17,6,61,0,NA,NA,13,11,27,NA,NA
7036,81,43,16,0,2,NA,19,1,NA,NA,4,32,1,NA,1
7037,89,56,8,0,2,NA,11,0,NA,NA,3,30,1,NA,NA
7038,55,12,4,0,9,NA,45,0,NA,NA,8,35,32,NA,NA
7041,88,62,4,NA,5,NA,12,1,NA,NA,9,16,3,NA,NA
7042,40,28,6,0,28,NA,60,NA,NA,NA,8,5,26,NA,NA
7043,67,30,17,0,13,NA,33,1,NA,NA,9,26,4,NA,NA
7044,75,36,8,0,15,NA,25,1,NA,NA,7,30,2,NA,1
7045,74,29,7,NA,14,1,26,0,NA,NA,11,33,5,NA,NA
7049,72,19,14,4,12,9,28,0,NA,NA,9,31,2,NA,NA
7051,51,21,20,NA,15,NA,49,1,NA,NA,9,20,14,NA,NA
7117,54,2,5,0,34,3,46,0,1,NA,34,13,7,1,NA
7130,46,18,8,0,29,4,54,NA,1,NA,11,13,18,NA,NA
7148,38,12,14,4,26,NA,62,1,10,3,11,1,17,1,NA
7160,33,5,3,4,57,NA,67,0,7,1,17,NA,4,2,NA
7165,61,10,5,0,30,6,39,1,NA,NA,28,17,3,NA,NA
7189,81,53,6,1,12,NA,19,0,NA,NA,14,13,1,NA,NA
7274,32,1,3,2,57,NA,68,1,6,1,23,NA,5,1,NA
7285,27,4,13,0,41,NA,73,1,20,1,3,NA,17,NA,NA
7380,44,5,4,1,51,NA,56,NA,31,NA,8,NA,1,NA,NA
7385,30,NA,2,NA,3,NA,70,NA,NA,NA,30,NA,58,8,NA
7396,40,6,13,0,38,NA,60,NA,1,NA,25,8,9,1,NA
7397,52,9,28,0,14,6,48,0,NA,NA,27,10,4,2,NA
7398,68,29,4,0,25,NA,32,0,NA,NA,12,25,3,NA,2
7401,54,6,13,NA,26,NA,46,1,NA,NA,15,32,7,NA,NA
7441,66,23,7,0,23,3,34,1,NA,NA,13,26,3,NA,1
7446,61,NA,4,NA,31,NA,39,1,1,NA,56,3,4,NA,NA
7447,38,10,7,0,36,2,62,NA,NA,NA,12,15,10,9,NA
7448,62,5,22,0,12,2,38,0,NA,NA,13,42,4,NA,NA
7449,68,19,5,0,23,14,32,0,1,NA,13,21,4,NA,NA
7453,63,9,11,NA,10,NA,37,0,NA,3,49,5,11,2,NA
7454,56,17,11,0,30,2,44,NA,NA,NA,10,24,3,NA,4
7455,58,11,15,NA,20,10,42,0,NA,NA,11,19,7,NA,7
9523,79,NA,9,NA,6,7,21,NA,9,NA,47,12,7,NA,4
9971,41,11,8,NA,32,NA,59,1,NA,NA,21,NA,9,10,8
10397,69,40,23,5,2,NA,31,NA,2,NA,10,13,4,2,1
11095,73,NA,5,NA,18,NA,27,0,5,NA,68,NA,4,NA,NA
11129,63,10,6,NA,26,2,37,NA,4,NA,42,5,4,1,1
15496,51,12,7,6,22,NA,49,NA,NA,NA,18,13,7,14,2
15979,63,11,5,1,21,1,37,0,2,NA,31,16,10,1,1
18261,78,15,3,NA,9,NA,22,NA,13,NA,45,6,9,1,NA
19188,64,9,9,NA,14,NA,36,0,1,NA,38,16,12,1,NA
21864,75,16,7,21,11,NA,25,0,1,NA,24,6,2,5,7
23286,55,3,5,0,13,NA,45,0,NA,NA,42,10,26,1,NA
23670,72,4,5,1,16,NA,28,0,5,NA,55,7,7,NA,NA
24696,88,16,6,NA,NA,NA,12,0,NA,NA,54,18,6,NA,NA
24707,53,NA,3,NA,39,NA,47,0,2,NA,51,NA,5,NA,NA
25760,64,NA,7,0,19,NA,36,0,2,NA,61,1,10,NA,NA
28836,73,15,8,NA,11,4,27,0,2,NA,33,19,8,NA,NA
30918,65,NA,11,0,17,NA,35,0,16,NA,48,1,7,NA,NA
31993,66,3,6,1,20,NA,34,1,11,NA,46,5,7,NA,NA
33602,58,6,9,2,14,NA,42,0,NA,NA,40,10,13,6,NA
34352,49,14,16,6,17,NA,51,2,NA,NA,16,11,10,8,NA
34377,51,29,28,6,4,NA,49,0,NA,NA,10,5,8,9,1
34380,46,8,6,6,43,NA,54,1,2,NA,26,3,2,3,NA
35115,50,NA,10,NA,39,NA,50,1,1,NA,48,NA,1,NA,NA
36111,80,1,4,0,7,1,20,0,2,NA,23,53,8,1,NA
36121,78,14,6,NA,11,NA,22,1,1,NA,52,11,4,NA,NA
38285,74,9,7,0,12,NA,26,1,11,NA,35,19,6,NA,NA
40167,83,NA,4,NA,5,NA,17,0,6,NA,76,1,8,NA,NA
40387,59,NA,11,NA,14,NA,41,2,4,NA,54,NA,15,NA,NA
40741,49,13,11,4,29,NA,51,1,12,NA,14,3,NA,11,2
40797,49,10,5,7,27,NA,51,1,NA,NA,26,5,1,17,1
41495,70,4,6,NA,13,NA,30,1,1,NA,54,9,11,NA,1
42413,58,1,18,1,20,NA,42,0,NA,NA,55,1,4,NA,NA
42799,58,35,8,4,10,NA,42,1,6,2,12,NA,19,2,1
43580,70,1,15,2,13,NA,30,1,16,NA,45,5,2,NA,NA
43937,54,14,17,1,16,NA,46,1,18,NA,12,6,7,4,4
44028,17,5,6,0,21,NA,83,NA,8,1,1,NA,48,8,3
45592,82,NA,6,NA,4,NA,18,0,17,NA,59,6,8,NA,NA
45620,53,NA,34,0,13,NA,47,0,2,NA,45,5,1,NA,NA
46662,50,3,9,NA,35,NA,50,NA,1,NA,45,2,5,1,NA
47453,63,9,11,NA,10,NA,37,0,NA,3,49,5,11,2,NA
48016,33,5,10,3,22,NA,67,1,6,NA,13,2,17,18,3
51869,60,1,11,NA,23,1,40,NA,4,NA,43,9,5,1,3
52211,47,6,7,1,22,NA,53,NA,NA,NA,36,2,9,15,3
53306,37,10,13,5,34,NA,63,0,2,NA,19,1,9,6,1
55761,57,3,17,NA,7,NA,43,0,6,NA,20,28,18,1,NA
55958,72,8,4,NA,15,1,28,1,4,NA,37,17,7,1,5
57638,43,10,13,NA,8,NA,57,0,NA,NA,22,12,23,12,NA
59092,81,NA,3,4,8,NA,19,0,3,NA,74,NA,8,NA,NA
60086,78,8,5,1,8,NA,22,0,9,NA,48,13,8,NA,NA
64236,82,3,5,0,10,NA,18,3,10,NA,56,11,2,NA,NA
64238,55,2,5,0,33,1,45,2,13,NA,27,10,6,NA,1
65948,54,15,4,NA,23,NA,46,0,NA,NA,30,10,12,6,NA
66340,73,2,17,NA,2,NA,27,0,NA,NA,62,9,8,NA,NA
66367,66,3,19,0,11,NA,34,0,1,NA,57,5,4,NA,NA
70855,46,12,16,2,23,NA,54,NA,7,NA,20,2,4,11,4
73287,80,4,7,0,9,1,20,1,NA,NA,23,51,4,NA,NA
73826,31,2,3,0,14,NA,69,1,15,NA,13,NA,34,18,NA
74509,60,4,6,2,22,NA,40,1,3,NA,31,20,11,NA,NA
74896,44,NA,5,5,22,NA,56,0,NA,NA,26,13,9,20,NA
78556,38,1,NA,NA,55,NA,62,0,8,NA,28,NA,6,1,1
79164,67,15,10,7,12,NA,33,1,1,NA,38,1,8,3,4
79827,69,4,11,NA,15,NA,31,0,14,NA,38,13,3,1,1
82731,80,17,15,NA,3,NA,20,0,NA,NA,27,35,3,NA,NA
82971,58,NA,3,NA,33,NA,42,0,11,NA,46,2,5,NA,NA
86932,84,4,5,0,3,NA,16,0,1,NA,25,49,7,1,5
86937,69,9,18,2,8,NA,31,0,4,NA,30,21,5,1,2
87513,47,30,23,2,7,NA,53,NA,2,NA,7,6,19,4,2
87531,79,21,6,3,2,NA,21,0,26,NA,7,10,10,3,12
90311,56,7,9,NA,28,NA,44,1,2,NA,44,3,6,NA,NA
90332,76,13,4,NA,12,2,24,0,4,NA,31,26,7,1,NA
93208,55,NA,17,NA,18,NA,45,0,NA,NA,55,NA,9,1,NA
94401,80,NA,4,0,13,NA,20,0,20,NA,57,3,3,NA,NA
94414,56,NA,34,NA,4,3,44,0,2,3,43,7,4,NA,NA
96236,69,2,7,0,10,NA,31,1,NA,NA,45,20,12,2,1
99816,68,40,7,11,12,NA,32,0,3,NA,12,1,9,5,NA
100479,65,6,26,0,3,NA,35,2,1,NA,55,NA,6,NA,1
101893,43,9,10,4,27,NA,57,0,10,NA,16,2,3,17,2
102826,41,5,5,11,31,NA,59,0,3,NA,7,15,5,18,NA
103618,34,NA,NA,NA,48,NA,66,1,NA,NA,34,NA,15,2,NA
106073,40,11,9,3,25,NA,60,0,1,1,19,3,16,9,3
107503,63,NA,5,NA,27,NA,37,1,3,NA,56,3,4,1,NA
107694,87,7,6,NA,4,NA,13,2,19,NA,60,NA,2,NA,NA
112900,77,5,3,1,14,NA,23,NA,17,NA,52,2,6,1,NA
114627,64,11,11,0,2,NA,36,1,NA,NA,20,33,18,4,NA
115995,65,2,20,NA,5,NA,35,NA,NA,NA,58,5,10,1,NA
116978,60,NA,5,NA,31,NA,40,0,NA,NA,58,1,3,1,1
119108,78,7,5,0,15,4,22,NA,2,NA,55,10,2,1,1
120170,58,2,31,0,8,1,42,0,1,NA,50,4,3,NA,NA
121236,72,5,3,NA,15,NA,28,1,NA,NA,45,22,6,3,NA
121869,34,3,5,0,25,NA,66,0,NA,NA,27,4,27,9,NA
122324,38,NA,6,0,41,NA,62,0,1,NA,36,NA,15,1,NA
122626,55,26,11,0,14,NA,45,0,NA,NA,10,11,7,13,8
123314,84,NA,5,2,7,NA,16,1,9,NA,69,3,4,NA,NA
123328,41,NA,9,NA,44,NA,59,0,NA,NA,41,NA,6,NA,NA
124012,32,10,32,0,11,NA,68,1,NA,NA,14,8,15,9,NA
124722,43,9,7,4,29,NA,57,1,2,NA,18,7,7,14,2
125242,78,14,3,NA,14,NA,22,1,NA,NA,30,34,2,2,NA
125428,66,1,6,0,21,NA,34,0,11,NA,48,5,6,1,1
127213,82,23,4,0,12,1,18,0,NA,NA,19,39,2,NA,NA
130135,61,NA,6,0,32,NA,39,NA,NA,NA,61,NA,2,NA,NA
132581,68,16,9,2,15,NA,32,NA,NA,1,38,12,3,5,NA
133500,41,NA,6,NA,46,NA,59,2,NA,NA,36,2,7,NA,1
134511,83,7,7,1,3,NA,17,NA,1,NA,33,40,8,NA,1
134664,51,4,14,1,21,NA,49,2,NA,NA,45,1,7,5,NA
136008,30,NA,13,5,4,NA,70,1,NA,NA,18,NA,35,17,7
136311,63,23,6,NA,28,NA,37,NA,4,NA,23,13,3,1,NA
136346,54,NA,4,NA,32,NA,46,1,NA,NA,53,NA,9,1,NA
137300,69,9,13,NA,8,NA,31,1,9,NA,36,14,9,NA,1
137728,62,16,3,2,6,NA,38,0,NA,NA,20,24,26,3,NA
138072,43,4,12,0,25,NA,57,0,25,NA,12,2,7,13,NA
138077,42,11,13,2,23,NA,58,NA,NA,1,20,8,9,13,1
139057,52,11,11,26,30,NA,48,NA,2,NA,14,NA,1,6,NA
140108,80,23,10,0,4,NA,20,0,17,NA,31,7,4,2,2
